iteration,physical_time_s,wall_clock_s,total_density
3800,9.277343749999377e-05,74.120137313,221180.7820122
3900,9.52148437499935e-05,76.668343658,221181.9791494
4000,9.765624999999323e-05,79.346089594,221183.1684016
4100,0.00010009765624999296,81.887821328,221184.3500303
4200,0.00010253906249999269,84.295129994,221185.524281
4300,0.00010498046874999242,86.727638449,221186.6913851
4400,0.00010742187499999215,89.068863261,221187.8515609
4500,0.00010986328124999188,91.421591689,221189.0050146
4600,0.00011230468749999162,93.857987869,221190.1519412
4700,0.00011474609374999135,96.265532475,221191.2925255
4800,0.00011718749999999108,98.516277191,221192.4269429
4900,0.00011962890624999081,100.809784105,221193.5553598
5000,0.00012207031249999054,103.072954507,221194.6779346
5100,0.00012451171874999027,105.264556991,221195.7948178
5200,0.00012695312499999,107.416258525,221196.9061531
5300,0.00012939453124998973,109.697810962,221198.0120774
5400,0.00013183593749998946,111.927280428,221199.1127212
5500,0.0001342773437499892,114.222507498,221200.2082096
5600,0.00013671874999998893,116.784627059,221201.2986617
5700,0.00013916015624998866,119.405126435,221202.384192
5800,0.0001416015624999884,121.796288763,221203.4649097
5900,0.00014404296874998812,124.181596394,221204.5409197
6000,0.00014648437499998785,126.539279757,221205.6123225
6100,0.00014892578124998758,128.738797354,221206.6792147
6200,0.00015136718749998731,130.887204898,221207.7416889
6300,0.00015380859374998704,133.10067487,221208.799834
6400,0.00015624999999998678,135.30501528,221209.8537356
6500,0.0001586914062499865,137.440503483,221210.9034761
6600,0.00016113281249998624,139.62123198,221211.9491347
6700,0.00016357421874998597,141.766897445,221212.9907875
6800,0.0001660156249999857,144.03648694,221214.0285082
6900,0.00016845703124998543,146.295019296,221215.0623676
7000,0.00017089843749998516,148.59998379,221216.0924338
7100,0.0001733398437499849,150.787198794,221217.1187728
7200,0.00017578124999998462,153.156673126,221218.1414482
7300,0.00017822265624998436,155.508116995,221219.1605213
7400,0.0001806640624999841,157.823405828,221220.1760513
7500,0.00018310546874998382,160.114119338,221221.1880956
7600,0.00018554687499998355,162.294837167,221222.1967095
7700,0.00018798828124998328,164.521297007,221223.2019464
7800,0.000190429687499983,166.828341726,221224.2038582
7900,0.00019287109374998274,168.961154848,221225.2024948
8000,0.00019531249999998247,171.160603235,221226.1979047
8100,0.0001977539062499822,173.411557543,221227.1901349
8200,0.00020019531249998194,175.568723143,221228.1792306
8300,0.00020263671874998167,178.1293984,221229.1652359
8400,0.0002050781249999814,180.658825009,221230.1481933
8500,0.00020751953124998113,183.207783346,221231.1281442
8600,0.00020996093749998086,185.404451478,221232.1051285
8700,0.0002124023437499806,187.882786655,221233.0791849
8800,0.00021484374999998032,190.118183187,221234.0503512
8900,0.00021728515624998005,192.380140588,221235.0186638
9000,0.00021972656249997979,194.460372584,221235.9841579
9100,0.00022216796874997952,196.763139711,221236.9468681
9200,0.00022460937499997925,198.983037049,221237.9068276
9300,0.00022705078124997898,201.157506431,221238.8640686
9400,0.0002294921874999787,203.247032623,221239.8186227
9500,0.00023193359374997844,205.457533279,221240.7705203
9600,0.00023437499999997817,207.711282246,221241.719791
9700,0.0002368164062499779,209.921699418,221242.6664636
9800,0.00023925781249997763,212.184095508,221243.6105659
9900,0.00024169921874997737,214.355696641,221244.5521252
10000,0.0002441406249999771,216.623194698,221245.4911678
10100,0.00024658203124997685,218.813733937,221246.4277194
10200,0.0002490234374999766,221.082256798,221247.3618049
10300,0.0002514648437499763,223.190415179,221248.2934485
10400,0.00025390624999997605,225.431009679,221249.2226739
10500,0.0002563476562499758,227.658133205,221250.1495039
10600,0.0002587890624999755,230.085797671,221251.0739608
10700,0.00026123046874997524,232.37769317,221251.9960664
10800,0.00026367187499997497,234.66501411,221252.9158418
10900,0.0002661132812499747,237.200722572,221253.8333075
11000,0.00026855468749997443,239.805817442,221254.7484835
11100,0.00027099609374997417,242.208889781,221255.6613893
11200,0.0002734374999999739,244.634988596,221256.5720438
11300,0.00027587890624997363,247.020865896,221257.4804655
11400,0.00027832031249997336,249.326626277,221258.3866725
11500,0.0002807617187499731,251.542353985,221259.2906821
11600,0.0002832031249999728,253.791259077,221260.1925114
11700,0.00028564453124997255,256.049981448,221261.0921772
11800,0.0002880859374999723,258.263326399,221261.9896955
11900,0.000290527343749972,260.425490872,221262.8850821
12000,0.00029296874999997175,262.642669166,221263.7783525
