classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,143578,85616232,5,0 0 1,1.0,,0,outlet_03,0.00017798277157903458,0.0001395763594245377,0.0001301063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,143599,85616466,13,1 0 1,1.0,,2,outlet_03,0.00017798277157903458,0.00013897635942453768,0.00013070639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153014,87763044,5,0 0 1,1.0,,0,inlet,0.0001027827715790346,5.637635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153014,87763044,7,0 -1 1,1.0,,3,inlet,0.0001027827715790346,5.637635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153014,87763044,12,-1 0 1,1.0,,2,inlet,0.0001027827715790346,5.637635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153015,87763097,5,0 0 1,1.0,,2,inlet,0.00010298277157903459,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153016,87763098,7,0 -1 1,1.0,,2,inlet,0.0001031827715790346,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153016,87763098,12,-1 0 1,1.0,,2,inlet,0.0001031827715790346,5.6176359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153017,87763148,5,0 0 1,1.0,,0,inlet,0.00010238277157903459,5.6776359424537686e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153017,87763148,7,0 -1 1,1.0,,2,inlet,0.00010238277157903459,5.6776359424537686e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153018,87763153,5,0 0 1,1.0,,0,inlet,0.00010258277157903459,5.657635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153018,87763153,7,0 -1 1,1.0,,3,inlet,0.00010258277157903459,5.657635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153018,87763153,12,-1 0 1,1.0,,2,inlet,0.00010258277157903459,5.657635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,153019,87763163,5,0 0 1,1.0,,0,inlet,0.0001021827715790346,5.717635942453769e-05,0.00015870639894086848
