port_id,entity,triangle_id,minimum_angle_deg,aspect_ratio,distance_to_original_interface_um,axial_distance_um,axial_distance_in_D
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,55912,1.2388675981156023,76.95510196289766,0.12039538141905254,0.12038601479036946,0.05129189146154966
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,56474,3.7231706670394535,25.945860317864966,0.12064113108797185,0.1203823185048934,0.05129031661522072
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,66434,2.4141241843200483,37.09314989006162,0.12042069829348871,0.12038413422406327,0.051291090223938865
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,46771,2.2199579719270464,40.213641451847145,0.1135606226968779,0.1135550997322161,0.04924945696358835
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,46772,2.8860100879149293,30.869610754710955,0.11365835586837682,0.11355658766999316,0.049250102290197974
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,46773,1.2537066942862438,74.74208850139273,0.1135595257149204,0.11355700680738993,0.04925028407233927
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,49862,0.7506427709084389,126.76636544295948,0.11356998519544402,0.11355300404521515,0.04924854805287447
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,50328,3.2642195509306444,28.01548264469161,0.11365844526510033,0.11355811752151776,0.04925076579502514
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,50419,1.7165065383125873,53.86408395839177,0.11360389342478822,0.11355898723162101,0.049251142992970474
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,51088,2.155224428454784,36.06100559838144,0.11363244928291685,0.11355762503505959,0.04925055220100176
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,51290,2.2861332755320163,42.90822266013316,0.11359112577039424,0.11355763551350352,0.049250556745559206
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,51304,2.376556865570597,41.434695845722125,0.11370363878459694,0.1135574364232293,0.049250470399037426
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,53250,1.3917686963282085,60.15319667401527,0.1135591501347628,0.1135585261804741,0.04925094303261051
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,54598,0.9003498732087241,93.36782895525626,0.11356490562188827,0.11355659814842185,0.04925010683474881
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,EXTENSION_BODY,57844,2.5804960855492105,34.79180908548479,0.11362087324909587,0.11356159636193981,0.04925227458681039
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,EXTENSION_BODY,45984,2.4290762939504154,29.885133595856637,0.14602863485857986,0.14589159037630828,0.0581241395921547
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,EXTENSION_BODY,50268,1.9342574980079752,38.2469617244299,0.1459030071483132,0.1458987112002599,0.058126976573808734
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,EXTENSION_BODY,50269,1.1813020385058197,71.06015385262606,0.14589379377388012,0.14589074384477185,0.05812380232859437
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,EXTENSION_BODY,50271,4.680639747062417,19.91904823392156,0.14671111351529809,0.14588252750947744,0.05812052888823803
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,EXTENSION_BODY,50397,1.5387669964869846,59.281998769493605,0.14588978548935794,0.14589089323270785,0.05812386184570034
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,EXTENSION_BODY,52733,1.9317243030789968,41.278769383148656,0.145911775655521,0.14589218792795844,0.05812437766054122
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,EXTENSION_BODY,54777,4.0585167834313145,21.595288549820292,0.14621283079145844,0.14588890139382538,0.058123068284392586
