local_node_id,source_radius_um,radius_scale,feed_radius_um,h5_diameter_um,absolute_difference_um,relative_difference
75,1.1686,0.91,1.0634260000000002,2.1268520000000004,0.10517399999999988,-0.08999999999999989
76,1.174,0.91,1.06834,2.13668,0.10565999999999987,-0.08999999999999989
77,1.183,0.91,1.07653,2.15306,0.10647000000000006,-0.09000000000000005
78,1.1538,0.91,1.049958,2.099916,0.10384199999999999,-0.09
79,1.167,0.91,1.06197,2.12394,0.10502999999999996,-0.08999999999999996
80,1.164,0.91,1.05924,2.11848,0.10475999999999996,-0.08999999999999997
81,1.127,0.91,1.02557,2.05114,0.10142999999999991,-0.08999999999999991
82,1.178,0.91,1.07198,2.14396,0.10602,-0.09000000000000001
83,1.1365,0.91,1.034215,2.06843,0.10228499999999996,-0.08999999999999996
84,1.1254,0.91,1.024114,2.048228,0.10128599999999999,-0.09
85,1.116,0.91,1.01556,2.03112,0.10044000000000008,-0.09000000000000007
86,1.1098,0.91,1.0099179999999999,2.0198359999999997,0.09988200000000003,-0.09000000000000004
87,1.1472,0.91,1.043952,2.087904,0.103248,-0.09000000000000001
88,1.5444,0.91,1.405404,2.810808,0.1389959999999999,-0.08999999999999993
89,2.1338,0.91,1.941758,3.883516,0.19204199999999982,-0.08999999999999993
90,2.4649,0.91,2.243059,4.486118,0.22184099999999995,-0.08999999999999998
91,2.648,0.91,2.4096800000000003,4.8193600000000005,0.23831999999999987,-0.08999999999999994
92,2.7274,0.91,2.481934,4.963868,0.24546599999999996,-0.09
93,2.7279,0.91,2.482389,4.964778,0.24551100000000003,-0.09000000000000001
94,2.6274,0.91,2.390934,4.781868,0.23646600000000007,-0.09000000000000002
95,2.1297,0.91,1.9380270000000002,3.8760540000000003,0.19167299999999998,-0.08999999999999998
96,1.8289,0.91,1.664299,3.328598,0.164601,-0.09
97,1.702,0.91,1.54882,3.09764,0.15317999999999987,-0.08999999999999993
98,1.6072,0.91,1.462552,2.925104,0.1446479999999999,-0.08999999999999993
99,1.476,0.91,1.3431600000000001,2.6863200000000003,0.13283999999999985,-0.0899999999999999
100,1.4272,0.91,1.2987520000000001,2.5975040000000003,0.1284479999999999,-0.08999999999999993
101,1.3712,0.91,1.247792,2.495584,0.12340799999999996,-0.08999999999999997
102,1.3285,0.91,1.208935,2.41787,0.11956499999999992,-0.08999999999999994
103,1.3324,0.91,1.2124840000000001,2.4249680000000002,0.11991599999999991,-0.08999999999999993
104,1.3366,0.91,1.216306,2.432612,0.1202939999999999,-0.08999999999999993
105,1.255,0.91,1.14205,2.2841,0.11294999999999988,-0.08999999999999991
106,1.5873904761904762,0.91,1.4445253333333334,2.889050666666667,0.1428651428571428,-0.08999999999999997
107,1.1735384615384614,0.91,1.06792,2.13584,0.10561846153846144,-0.08999999999999993
108,1.1528563636363636,0.91,1.0490992909090908,2.0981985818181816,0.10375707272727275,-0.09000000000000002
