classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22219,166172982,10,-1 0 -1,1.0,,3,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22219,166172982,14,-1 -1 0,1.0,,3,outlet_02,8.046738696364998e-05,8.061482096299923e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22220,166173080,0,-1 0 0,1.0,,2,outlet_02,8.046738696364998e-05,8.015328250146077e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22220,166173080,14,-1 -1 0,1.0,,2,outlet_02,8.046738696364998e-05,8.015328250146077e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22221,166173090,0,-1 0 0,1.0,,0,outlet_02,8.046738696364998e-05,8.030712865530692e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22222,166173092,10,-1 0 -1,1.0,,2,outlet_02,8.046738696364998e-05,8.046097480915307e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22222,166173092,14,-1 -1 0,1.0,,3,outlet_02,8.046738696364998e-05,8.046097480915307e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22223,166173094,10,-1 0 -1,1.0,,4,outlet_02,8.046738696364998e-05,8.030712865530692e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22223,166173094,14,-1 -1 0,1.0,,4,outlet_02,8.046738696364998e-05,8.030712865530692e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22224,166173106,10,-1 0 -1,1.0,,3,outlet_02,8.046738696364998e-05,7.999943634761461e-05,0.0001138217835562531
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22230,166175342,1,0 -1 0,1.0,,0,outlet_02,8.077507927134228e-05,7.876866711684538e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22230,166175342,5,0 0 1,1.0,,2,outlet_02,8.077507927134228e-05,7.876866711684538e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22233,166175349,14,-1 -1 0,1.0,,2,outlet_02,8.092892542518843e-05,7.876866711684538e-05,0.00011336024509471464
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22408,166175564,1,0 -1 0,1.0,,2,outlet_02,8.077507927134228e-05,7.892251327069153e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22408,166175564,12,-1 0 1,1.0,,2,outlet_02,8.077507927134228e-05,7.892251327069153e-05,0.00011351409124856079
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22413,166175581,1,0 -1 0,1.0,,0,outlet_02,8.062123311749613e-05,7.907635942453769e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,22414,166175582,14,-1 -1 0,1.0,,2,outlet_02,8.077507927134228e-05,7.907635942453769e-05,0.00011366793740240695
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,347913,505108423,4,0 1 0,1.0,,0,outlet_01,0.00011354431004057306,0.0001543071286553069,0.00016566793740240693
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,347913,505108423,12,-1 0 1,1.0,,3,outlet_01,0.00011354431004057306,0.0001543071286553069,0.00016566793740240693
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,347914,505108530,0,-1 0 0,1.0,,1,outlet_01,0.00011369815619441921,0.00015446097480915308,0.0001655140912485608
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,347914,505108530,12,-1 0 1,1.0,,1,outlet_01,0.00011369815619441921,0.00015446097480915308,0.0001655140912485608
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348082,505108938,9,0 1 1,1.0,,2,outlet_01,0.00011400584850211151,0.00015446097480915308,0.0001652063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348083,505108941,17,1 1 0,1.0,,2,outlet_01,0.00011385200234826536,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348084,505108942,4,0 1 0,1.0,,0,outlet_01,0.00011400584850211151,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348084,505108942,15,-1 1 0,1.0,,2,outlet_01,0.00011400584850211151,0.00015446097480915308,0.00016536024509471463
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348086,505108946,17,1 1 0,1.0,,5,outlet_01,0.00011431354080980381,0.00015446097480915308,0.0001652063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348087,505109001,4,0 1 0,1.0,,3,outlet_01,0.00011446738696364998,0.00015446097480915308,0.0001652063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348088,505109002,15,-1 1 0,1.0,,6,outlet_01,0.00011462123311749613,0.00015446097480915308,0.0001652063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,348090,505109010,9,0 1 1,1.0,,2,outlet_01,0.00011492892542518845,0.00015446097480915308,0.0001652063989408685
