cell_index,tree_id,i,j,k,x_m,y_m,z_m,port_boundary_labels,boundary_cap_representation
399531,625317233,650,544,262,0.00017815969465595767,0.00013784559019376847,0.00012859101432548386,outlet_03,True
399548,625317372,649,551,262,0.00017800584850211152,0.00013892251327069153,0.00012859101432548386,outlet_03,True
399556,625318250,649,552,262,0.00017800584850211152,0.00013907635942453768,0.00012859101432548386,outlet_03,True
399559,625318256,649,553,263,0.00017800584850211152,0.00013923020557838386,0.00012874486047933001,outlet_03,True
400367,625320026,649,554,264,0.00017800584850211152,0.00013938405173222998,0.0001288987066331762,outlet_03,True
400369,625320030,649,554,265,0.00017800584850211152,0.00013938405173222998,0.00012905255278702234,outlet_03,True
400370,625320032,649,555,265,0.00017800584850211152,0.00013953789788607616,0.00012905255278702234,outlet_03,True
400377,625320060,649,555,266,0.00017800584850211152,0.00013953789788607616,0.0001292063989408685,outlet_03,True
400380,625320064,649,555,267,0.00017800584850211152,0.00013953789788607616,0.00012936024509471465,outlet_03,True
400397,625320320,649,555,271,0.00017800584850211152,0.00013953789788607616,0.00012997562971009925,outlet_03,True
400398,625320394,649,556,268,0.00017800584850211152,0.00013969174403992229,0.0001295140912485608,outlet_03,True
400399,625320398,649,556,269,0.00017800584850211152,0.00013969174403992229,0.00012966793740240695,outlet_03,True
400400,625320426,649,556,270,0.00017800584850211152,0.00013969174403992229,0.0001298217835562531,outlet_03,True
400846,625333717,650,548,277,0.00017815969465595767,0.00013846097480915307,0.0001308987066331762,outlet_03,True
400847,625333719,650,549,277,0.00017815969465595767,0.00013861482096299923,0.0001308987066331762,outlet_03,True
400852,625333733,650,550,277,0.00017815969465595767,0.00013876866711684538,0.0001308987066331762,outlet_03,True
400853,625333735,650,551,277,0.00017815969465595767,0.00013892251327069153,0.0001308987066331762,outlet_03,True
400932,625334364,649,555,272,0.00017800584850211152,0.00013953789788607616,0.0001301294758639454,outlet_03,True
400934,625334366,649,554,273,0.00017800584850211152,0.00013938405173222998,0.00013028332201779155,outlet_03,True
400942,965285068,233,645,512,0.00011400584850211151,0.00015338405173223,0.00016705255278702232,outlet_01,True
400948,965285140,239,645,512,0.00011492892542518845,0.00015338405173223,0.00016705255278702232,outlet_01,True
