node_id,role,component_id,root_node_id,source_index,x_um,y_um,z_um,radius_raw_um,indegree,outdegree
7117,divergence_junction,0,2410,4707,39.31,7.0,64.9,7.0921,1,2
7160,divergence_junction,0,2410,4750,26.5,41.17,36.86,1.9505,1,2
7169,divergence_junction,0,2410,4759,29.33,25.46,16.68,5.3102,1,2
7219,divergence_junction,0,2410,4809,89.84,28.98,19.46,3.2121,1,2
7242,inferred_outlet,0,2410,4832,98.71,2.88,13.8,1.681,1,0
7255,inferred_outlet,0,2410,4845,85.94,48.09,29.52,7.5357,1,0
7259,inferred_outlet,0,2410,4849,74.17,74.17,5.0,7.9145,1,0
7280,inferred_outlet,0,2410,4870,104.4,69.49,8.28,4.4654,1,0
7294,divergence_junction,0,2410,4884,46.93,173.75,36.76,6.4068,1,2
7448,inferred_outlet,0,2410,5038,188.25,75.58,14.84,1.5577,1,0
7479,divergence_junction,0,2410,5069,177.0,31.6,193.6,5.7828,1,2
7492,inferred_outlet,0,2410,5082,188.92,42.83,219.16,4.9048,1,0
7494,divergence_junction,0,2410,5084,115.5,31.0,215.24,6.854,1,2
7518,inferred_outlet,0,2410,5108,89.96,25.76,221.04,5.8677,1,0
7545,inferred_outlet,0,2410,5135,135.88,2.75,268.62,2.701,1,0
7591,divergence_junction,0,2410,5181,82.74,103.36,378.26,2.5436,1,2
7597,inferred_outlet,0,2410,5187,81.0,110.0,381.0,2.6986,1,0
7612,divergence_junction,0,2410,5202,95.6,45.75,288.0,1.7913,1,2
7728,divergence_junction,0,2410,5318,174.25,7.33,351.12,3.8077,1,2
7733,inferred_outlet,0,2410,5323,173.59,2.88,342.62,2.7158,1,0
7762,inferred_outlet,0,2410,5352,189.25,32.83,262.46,4.5904,1,0
7771,inferred_outlet,0,2410,5361,1.59,112.3,380.0,5.5482,1,0
7824,inferred_outlet,0,2410,5414,99.91,3.27,160.36,2.6751,1,0
7828,inferred_outlet,0,2410,5418,42.85,1.85,57.7,6.8561,1,0
7850,inferred_outlet,0,2410,5440,1.33,39.22,43.34,1.4964,1,0
7851,divergence_junction,0,2410,5441,28.17,25.72,14.78,5.4463,1,2
7874,inferred_outlet,0,2410,5464,2.0,24.5,22.0,3.2141,1,0
7877,divergence_junction,0,2410,5467,92.81,35.94,15.3,6.1401,1,2
7882,inferred_outlet,0,2410,5472,98.64,38.64,6.18,5.8215,1,0
7922,divergence_junction,0,2410,5512,63.02,161.97,4.96,3.5413,1,2
7927,inferred_outlet,0,2410,5517,57.12,157.0,2.0,3.65,1,0
7938,inferred_outlet,0,2410,5528,188.91,27.46,195.08,5.4945,1,0
7939,inferred_outlet,0,2410,5529,116.25,31.25,215.12,6.918,1,0
7956,inferred_outlet,0,2410,5546,100.5,92.17,380.34,1.4775,1,0
7996,inferred_outlet,0,2410,5586,100.0,3.08,266.16,1.1322,1,0
8010,inferred_outlet,0,2410,5600,188.25,9.88,358.24,2.1289,1,0
8013,inferred_outlet,0,2410,5603,28.6,27.0,4.4,5.0401,1,0
8019,inferred_outlet,0,2410,5609,87.5,46.24,27.84,7.0617,1,0
8027,inferred_outlet,0,2410,5617,72.5,161.32,1.8,3.5466,1,0
8077,divergence_junction,0,2410,5667,92.93,179.25,171.94,3.1766,1,2
8084,inferred_outlet,0,2410,5674,88.55,188.25,169.56,3.3456,1,0
8103,divergence_junction,0,2410,5693,124.82,146.02,256.4,2.8142,1,2
8132,divergence_junction,0,2410,5722,109.38,120.41,282.32,2.2946,1,2
8206,inferred_outlet,0,2410,5796,174.78,83.0,278.88,1.25,1,0
8306,divergence_junction,0,2410,5896,134.66,185.03,215.14,2.4017,1,2
8323,inferred_outlet,0,2410,5913,111.62,187.62,217.0,2.0993,1,0
8367,inferred_outlet,0,2410,5957,189.71,149.0,255.0,1.7288,1,0
8397,divergence_junction,0,2410,5987,72.05,135.61,332.94,8.1114,1,2
8406,divergence_junction,0,2410,5996,71.23,148.06,332.96,6.8005,1,2
8432,divergence_junction,0,2410,6022,40.37,153.46,328.3,5.1419,1,2
8477,inferred_outlet,0,2410,6067,30.05,184.53,306.44,2.3887,1,0
8516,inferred_outlet,0,2410,6106,47.67,189.78,220.88,5.9612,1,0
8569,inferred_outlet,0,2410,6159,117.77,157.7,185.02,1.0,1,0
8576,divergence_junction,0,2410,6166,26.12,116.62,225.02,6.3534,1,2
8590,divergence_junction,0,2410,6180,9.56,118.0,224.44,5.8945,1,2
8651,inferred_outlet,0,2410,6241,8.75,187.25,215.0,1.14,1,0
8679,inferred_outlet,0,2410,6269,80.23,116.91,239.58,3.8084,1,0
8687,inferred_outlet,0,2410,6277,96.92,188.75,239.34,4.5988,1,0
8697,inferred_outlet,0,2410,6287,104.89,188.67,166.88,3.0899,1,0
8739,divergence_junction,0,2410,6329,173.18,169.1,293.3,2.3168,1,2
8760,inferred_outlet,0,2410,6350,189.86,180.86,323.14,1.423,1,0
8852,inferred_outlet,0,2410,6442,101.01,164.34,361.08,1.305,1,0
8855,divergence_junction,0,2410,6445,133.89,181.18,220.82,2.5371,1,2
8875,inferred_outlet,0,2410,6465,107.97,178.0,236.0,3.9468,1,0
8887,divergence_junction,0,2410,6477,66.64,122.38,340.44,8.0723,1,2
8889,divergence_junction,0,2410,6479,63.71,120.43,345.42,7.8401,1,2
8945,divergence_junction,0,2410,6535,50.32,59.75,367.96,8.4607,1,2
8978,divergence_junction,0,2410,6568,91.35,54.33,340.56,6.9408,1,2
9005,divergence_junction,0,2410,6595,121.15,76.85,331.08,6.6773,1,2
9033,divergence_junction,0,2410,6623,123.59,109.75,331.6,8.5466,1,2
9117,inferred_outlet,0,2410,6707,188.25,34.8,337.58,3.0232,1,0
9152,inferred_outlet,0,2410,6742,87.06,189.83,356.12,3.5068,1,0
9195,inferred_outlet,0,2410,6785,1.07,143.73,284.0,5.1252,1,0
9226,divergence_junction,0,2410,6816,13.5,86.02,233.08,5.9949,1,2
9236,inferred_outlet,0,2410,6826,4.12,90.75,238.76,5.7732,1,0
9244,inferred_outlet,0,2410,6834,1.75,118.0,230.62,5.112,1,0
9259,inferred_outlet,0,2410,6849,188.25,173.5,293.0,1.6021,1,0
9288,inferred_outlet,0,2410,6878,163.32,189.12,245.56,2.158,1,0
9330,inferred_outlet,0,2410,6920,100.06,163.68,361.68,1.5565,1,0
9334,divergence_junction,0,2410,6924,60.22,124.56,347.12,6.7084,1,2
9335,divergence_junction,0,2410,6925,58.71,125.52,347.54,6.2411,1,2
9384,inferred_outlet,0,2410,6974,92.36,181.09,379.28,3.0936,1,0
9441,inferred_outlet,0,2410,7031,14.52,3.1,284.1,8.0421,1,0
9450,divergence_junction,0,2410,7040,93.83,45.67,341.56,6.6429,1,2
9490,inferred_outlet,0,2410,7080,56.65,16.3,378.5,5.1357,1,0
9548,inferred_outlet,0,2410,7138,189.25,92.42,345.16,4.1613,1,0
9590,inferred_outlet,0,2410,7180,142.12,105.75,378.5,4.7718,1,0
9600,inferred_outlet,0,2410,7190,2.5,79.15,236.9,5.6205,1,0
9661,inferred_outlet,0,2410,7251,58.9,189.25,359.1,1.2785,1,0
9662,inferred_outlet,0,2410,7252,58.01,125.14,347.2,6.2648,1,0
9702,divergence_junction,0,2410,7292,140.39,23.9,359.74,6.032,1,3
9745,inferred_outlet,0,2410,7335,189.83,19.25,380.84,3.3365,1,0
9807,inferred_outlet,0,2410,7397,81.09,60.46,380.92,4.161,1,0
9828,inferred_outlet,0,2410,7418,115.04,2.29,369.5,4.9566,1,0
