cell_index,tree_id,center_x_m,center_y_m,center_z_m,normalInd,normal_vector,classification,rim_distance_m,rim_distance_over_dx,inside_physical_inlet
183943,87650864,0.00010318277157903459,5.6776359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.5794624083167519e-07,3.2897312041583762,True
183948,87650869,0.00010338277157903459,5.6576359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,5.5664526097454493e-07,2.7832263048727248,True
183949,87650870,0.00010358277157903459,5.6576359424537688e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,5.9480330562680822e-07,2.9740165281340412,True
183950,87650871,0.00010338277157903459,5.6776359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.4699256167767307e-07,3.7349628083883655,True
183951,87650872,0.00010358277157903459,5.6776359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.9414158424290715e-07,3.9707079212145358,True
183956,87650877,0.00010298277157903459,5.697635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,6.7726457599199458e-07,3.3863228799599732,True
183957,87650878,0.00010318277157903459,5.697635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,8.1876797018113457e-07,4.093839850905673,True
183958,87650879,0.00010298277157903459,5.7176359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,7.9047080624042032e-07,3.9523540312021019,True
183959,87650880,0.00010318277157903459,5.7176359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,9.5758058756752726e-07,4.7879029378376368,True
183964,87650885,0.00010338277157903459,5.697635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,9.303306266472375e-07,4.6516531332361879,True
183965,87650886,0.00010358277157903459,5.697635942453769e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,9.9213434966227556e-07,4.9606717483113778,True
