depth_cells,depth_um,port,visited_cell_count,cut_face_count,Q_m3_s,Mdot_kg_s,q_outward_m3_s,mass_outward_kg_s,inlet_q_relative_error,inlet_mass_flow_relative_error,signed_volumetric_balance_error,signed_mass_balance_error,outlet_02_sign,cross_port_overlap,global_balance_valid
9,1.7999999999999998,inlet,1561,332,5.373361787722924e-16,5.710528926216836e-13,-5.373361787722924e-16,-5.710528926216836e-13,0.3015719934790204,0.29710900248050637,0.07155084159988288,0.08007962491083095,NEGATIVE,False,True
9,1.7999999999999998,outlet_01,1191,219,2.9381853972291433e-17,3.104647659811399e-14,2.9381853972291433e-17,3.104647659811399e-14,0.3015719934790204,0.29710900248050637,0.07155084159988288,0.08007962491083095,NEGATIVE,False,True
9,1.7999999999999998,outlet_02,1056,210,-1.988656527228538e-16,-2.1117141613414444e-13,-1.988656527228538e-16,-2.1117141613414444e-13,0.3015719934790204,0.29710900248050637,0.07155084159988288,0.08007962491083095,NEGATIVE,False,True
9,1.7999999999999998,outlet_03,1352,239,6.683731217096322e-16,7.054481307123245e-13,6.683731217096322e-16,7.054481307123245e-13,0.3015719934790204,0.29710900248050637,0.07155084159988288,0.08007962491083095,NEGATIVE,False,True
10,2.0,inlet,1727,334,5.373518364466553e-16,5.710682100895487e-13,-5.373518364466553e-16,-5.710682100895487e-13,0.30155164167930154,0.2970901486923436,0.07084399915832919,0.07936243522596896,NEGATIVE,False,True
10,2.0,outlet_01,1325,215,2.9378995430855524e-17,3.104346910724559e-14,2.9378995430855524e-17,3.104346910724559e-14,0.30155164167930154,0.2970901486923436,0.07084399915832919,0.07936243522596896,NEGATIVE,False,True
10,2.0,outlet_02,1168,207,-1.9865481116327804e-16,-2.109469833810138e-13,-1.9865481116327804e-16,-2.109469833810138e-13,0.30155164167930154,0.2970901486923436,0.07084399915832919,0.07936243522596896,NEGATIVE,False,True
10,2.0,outlet_03,1498,238,6.685594991301244e-16,7.056503605304751e-13,6.685594991301244e-16,7.056503605304751e-13,0.30155164167930154,0.2970901486923436,0.07084399915832919,0.07936243522596896,NEGATIVE,False,True
11,2.2,inlet,1897,335,5.379001445897199e-16,5.716496205716299e-13,-5.379001445897199e-16,-5.716496205716299e-13,0.30083895234541974,0.2963745088645824,0.07230002091984616,0.08079800596471158,NEGATIVE,False,True
11,2.2,outlet_01,1457,214,2.9372130701436266e-17,3.10362283058336e-14,2.9372130701436266e-17,3.10362283058336e-14,0.30083895234541974,0.2963745088645824,0.07230002091984616,0.08079800596471158,NEGATIVE,False,True
11,2.2,outlet_02,1280,215,-1.9902599058655827e-16,-2.113405940582353e-13,-1.9902599058655827e-16,-2.113405940582353e-13,0.30083895234541974,0.2963745088645824,0.07230002091984616,0.08079800596471158,NEGATIVE,False,True
11,2.2,outlet_03,1643,240,6.68663812768217e-16,7.0576583687136e-13,6.68663812768217e-16,7.0576583687136e-13,0.30083895234541974,0.2963745088645824,0.07230002091984616,0.08079800596471158,NEGATIVE,False,True
12,2.4,inlet,2066,335,5.373287974974434e-16,5.710411681073803e-13,-5.373287974974434e-16,-5.710411681073803e-13,0.3015815876386583,0.2971234338154327,0.07115632858224614,0.07965154854233128,NEGATIVE,False,True
12,2.4,outlet_01,1588,209,2.936599202637259e-17,3.1029754335247534e-14,2.936599202637259e-17,3.1029754335247534e-14,0.3015815876386583,0.2971234338154327,0.07115632858224614,0.07965154854233128,NEGATIVE,False,True
12,2.4,outlet_02,1395,215,-1.9895383788453822e-16,-2.1126344328628663e-13,-1.9895383788453822e-16,-2.1126344328628663e-13,0.3015815876386583,0.2971234338154327,0.07115632858224614,0.07965154854233128,NEGATIVE,False,True
12,2.4,outlet_03,1788,242,6.686822988841778e-16,7.057905437372448e-13,6.686822988841778e-16,7.057905437372448e-13,0.3015815876386583,0.2971234338154327,0.07115632858224614,0.07965154854233128,NEGATIVE,False,True
