global_edge_id,parent_node_id,child_node_id,length_um,radius_parent_um,radius_child_um,resistance_pa_s_m3,flow_rate_m3_s,flow_rate_pL_s,mean_velocity_parent_mm_s,mean_velocity_child_mm_s,flow_sign_parent_to_child
5749,8159,8160,1.0188719252192793,1.0,1.0,8959244333330024.0,5.3900184459922706e-18,0.005390018445992271,0.001715696158072332,0.001715696158072332,1
5750,8160,8161,0.9837174391053493,1.0,1.0,8650120465342815.0,5.390018445992342e-18,0.005390018445992342,0.0017156961580723547,0.0017156961580723547,1
5751,8161,8162,0.9310746479203559,1.0,1.0,8187216721564301.0,5.390018445992391e-18,0.0053900184459923905,0.0017156961580723704,0.0017156961580723704,1
5752,8162,8163,0.8401190391843136,1.0,1.0,7387416960688968.0,5.390018445992331e-18,0.005390018445992331,0.0017156961580723513,0.0017156961580723513,1
5753,8163,8164,0.754188305398598,1.0,1.0,6631802422028603.0,5.390018445992319e-18,0.005390018445992319,0.0017156961580723474,0.0017156961580723474,1
5754,8164,8165,0.97611474735299,1.0,1.0,8583267732124437.0,5.390018445992334e-18,0.005390018445992334,0.0017156961580723521,0.0017156961580723521,1
5755,8165,8166,1.4716317474150975,1.0,1.0,1.294049631501986e+16,5.390018445992319e-18,0.005390018445992319,0.0017156961580723474,0.0017156961580723474,1
5756,8166,8167,1.9935897271003296,1.0,1.0,1.7530228307806752e+16,5.3900184459923276e-18,0.005390018445992327,0.0017156961580723502,0.0017156961580723502,1
5757,8167,8168,1.8713097017864306,1.0,1.0,1.6454983621250866e+16,5.390018445992333e-18,0.005390018445992333,0.001715696158072352,0.001715696158072352,1
5758,8168,8169,1.4415616532080884,1.0,1.0,1.2676081019575472e+16,5.390018445992329e-18,0.005390018445992329,0.0017156961580723506,0.0017156961580723506,1
5759,8169,8170,1.188360214749706,1.0,1.0,1.0449605349229516e+16,5.390018445992359e-18,0.005390018445992359,0.0017156961580723604,0.0017156961580723604,1
5760,8170,8171,1.095353824113475,1.0,1.0,9631772452232380.0,5.390018445992376e-18,0.005390018445992376,0.0017156961580723656,0.0017156961580723656,1
5761,8171,8172,1.1443775600735964,1.0,1.0,1.0062852765398194e+16,5.390018445992393e-18,0.005390018445992393,0.0017156961580723708,0.0017156961580723708,1
5762,8172,8173,1.1760952342391189,1.0,1.0,1.0341755722188086e+16,5.390018445992387e-18,0.005390018445992387,0.001715696158072369,0.001715696158072369,1
5763,8173,8174,1.1429785649783846,1.0,1.0,1.0050550984802526e+16,5.3900184459923515e-18,0.0053900184459923514,0.0017156961580723578,0.0017156961580723578,1
5764,8174,8175,1.3128975588369483,1.0,1.0,1.1544699312154702e+16,5.3900184459923584e-18,0.005390018445992358,0.00171569615807236,0.00171569615807236,1
5765,8175,8176,1.6830329765039997,1.0,1.0,1.4799410293208166e+16,5.3900184459923584e-18,0.005390018445992358,0.00171569615807236,0.00171569615807236,1
5766,8176,8177,2.20256668457507,1.0,1.007,1.909980591244746e+16,5.390018445992334e-18,0.005390018445992334,0.0017156961580723521,0.0016919262856847674,1
5767,8177,8178,1.7773575892318296,1.007,1.034,1.4418760282869912e+16,5.390018445992338e-18,0.0053900184459923384,0.0016919262856847687,0.001604720132583415,1
5768,8178,8179,1.4905368160498704,1.034,1.062,1.0871956973507194e+16,5.390018445992358e-18,0.0053900184459923575,0.0016047201325834206,0.0015212176134929653,1
5769,8179,8180,1.4071957930579466,1.062,1.081,9389693395007600.0,5.390018445992362e-18,0.005390018445992362,0.0015212176134929666,0.0014682127489043031,1
5770,8180,8181,1.4777347529242124,1.081,1.081,9515804180432288.0,5.390018445992344e-18,0.005390018445992344,0.0014682127489042984,0.0014682127489042984,1
5771,8181,8182,1.5076140089558667,1.081,1.07,9909189867025328.0,5.39001844599235e-18,0.00539001844599235,0.0014682127489043001,0.0014985554704099549,1
5772,8182,8183,1.4610954794263098,1.07,1.078,9656802234043198.0,5.390018445992361e-18,0.005390018445992361,0.0014985554704099577,0.0014763959903693368,1
5773,8183,8184,1.436140661634516,1.078,1.084,9248198388051872.0,5.390018445992362e-18,0.005390018445992362,0.0014763959903693372,0.0014600973554216655,1
5774,8184,8185,1.3944532978913304,1.084,1.086,8847855797351311.0,5.390018445992354e-18,0.005390018445992354,0.0014600973554216633,0.0014547244166271196,1
5775,8185,8186,1.3916177636118157,1.086,1.097,8622109741439103.0,5.390018445992367e-18,0.005390018445992367,0.001454724416627123,0.001425696631878574,1
5776,8186,8187,1.3352153384379652,1.097,1.088,8242175855652513.0,5.390018445992359e-18,0.005390018445992359,0.0014256966318785722,0.0014493810807677675,1
5777,8187,8188,1.3124404748406586,1.088,1.104,7999563964730090.0,5.390018445992356e-18,0.005390018445992356,0.0014493810807677666,0.0014076744628166668,1
5778,8188,8189,1.3560235986147378,1.104,1.125,7730849877976986.0,5.390018445992352e-18,0.005390018445992352,0.0014076744628166659,0.0013556117792176655,1
5779,8189,8190,1.3601470508735414,1.125,1.128,7427034338669312.0,5.390018445992353e-18,0.005390018445992353,0.0013556117792176657,0.001348410666962457,1
5780,8190,8191,1.6858232410309115,1.128,1.127,9172715093561718.0,5.3900184459923515e-18,0.0053900184459923514,0.0013484106669624566,0.0013508046490335688,1
5781,8191,8192,2.203451837458691,1.127,1.134,1.186279311716276e+16,5.3900184459923484e-18,0.005390018445992348,0.001350804649033568,0.0013341795194177382,1
5782,8192,8193,2.2699339197430337,1.134,1.1997,1.0795745614732276e+16,5.390018445992344e-18,0.005390018445992344,0.0013341795194177371,0.0011920516166331152,1
5783,8193,8194,1.5380832227158359,1.1997,1.2101,6417332852774338.0,5.390018445992333e-18,0.005390018445992333,0.0011920516166331126,0.0011716498921398508,1
5784,8194,8195,1.0157263410978463,1.2101,1.2559,3868794145126034.0,5.390018445992329e-18,0.005390018445992329,0.00117164989213985,0.0010877529202049127,1
5785,8195,8196,0.9619771307052885,1.2559,1.2714,3317903714821750.5,5.390018445992315e-18,0.005390018445992315,0.0010877529202049099,0.0010613923779820083,1
5786,8196,8197,0.9562426470305614,1.2714,1.2825,3162653918634273.0,5.390018445992328e-18,0.005390018445992328,0.001061392377982011,0.0010430992453198365,1
5787,8197,8198,1.0040418317978588,1.2825,1.362,2897064143584259.0,5.390018445992337e-18,0.005390018445992337,0.001043099245319838,0.0009248816513637159,1
5788,8198,8199,1.0364362016062518,1.362,1.339,2740444300294559.0,5.390018445992341e-18,0.005390018445992341,0.0009248816513637166,0.0009569279171097637,1
5789,8199,8200,1.033247308247157,1.339,1.3137,2936670282553315.5,5.390018445992333e-18,0.005390018445992333,0.0009569279171097622,0.0009941409857041207,1
5790,8200,8201,0.9917661014573972,1.3137,1.3096,2946406928076281.0,5.390018445992324e-18,0.005390018445992324,0.0009941409857041191,0.0010003754976597031,1
5791,8201,8202,0.9831073186585528,1.3096,1.3222,2883329986615177.5,5.3900184459923245e-18,0.0053900184459923246,0.0010003754976597031,0.0009814000439856906,1
5792,8202,8203,1.0057832768544146,1.3222,1.3293,2862991326652489.5,5.3900184459923276e-18,0.005390018445992327,0.000981400043985691,0.0009709444178957022,1
5793,8203,8204,1.1110805551353993,1.3293,1.3006,3269134493126482.0,5.39001844599233e-18,0.00539001844599233,0.0009709444178957026,0.0010142683634844407,1
5794,8204,8205,1.3418643746668246,1.3006,1.2913,4183367920645239.5,5.390018445992332e-18,0.005390018445992332,0.0010142683634844411,0.0010289305846995862,1
5795,8205,8206,1.642071862008487,1.2913,1.25,5543991635138709.0,5.3900184459923314e-18,0.0053900184459923315,0.001028930584699586,0.0010980455411663053,1
5796,4902,8207,1.035567477279975,5.1866,4.8408,14468360333432.04,2.9452065531420704e-17,0.029452065531420706,0.00034849806736460883,0.00040006596459907104,1
5797,8207,8208,1.2776541002947701,4.8408,4.7946,20856400078228.547,2.9452065531414553e-17,0.029452065531414554,0.0004000659645989875,0.0004078130539962075,1
5798,8208,8209,1.7242969581832397,4.7946,4.747,29270829690597.504,2.9452065531422873e-17,0.029452065531422874,0.0004078130539963227,0.0004160326565585716,1
5799,8209,8210,1.8147727130414808,4.747,4.6604,32609057526133.254,2.945206553142694e-17,0.02945206553142694,0.000416032656558629,0.000431637827750656,1
